Estado,Hospitalizados (%),Ventilación (%),UCI y Ventilación (%),Fecha
Quintana Roo,25.07,9.77,18.66,2021-05-05
Durango,22.22,13.22,26.98,2021-05-05
Puebla,20.32,18.3,24.06,2021-05-05
Chihuahua,18.96,31.86,34.44,2021-05-05
Guerrero,16.76,14,24.44,2021-05-05
Tabasco,16.34,28.47,40,2021-05-05
Morelos,15.82,7.84,2.85,2021-05-05
Ciudad de México,15.49,19.74,31.76,2021-05-05
Zacatecas,15.06,7.45,38.88,2021-05-05
Aguascalientes,14.48,15.31,31.57,2021-05-05
Hidalgo,13.35,13.65,8.06,2021-05-05
Oaxaca,13.23,14.68,27.47,2021-05-05
Michoacán de Ocampo,13.16,14.97,41.17,2021-05-05
México,12.98,17.93,36.13,2021-05-05
Baja California Sur,12.69,15.1,0,2021-05-05
Baja California,11.26,16.66,14.28,2021-05-05
Tamaulipas,11.25,12.08,23.71,2021-05-05
Nuevo León,10.97,14.26,24.53,2021-05-05
Yucatán,10.82,23.85,68.57,2021-05-05
Sinaloa,10.51,9.7,20.9,2021-05-05
Veracruz de Ignacio de La Llave,9.92,10.73,18.3,2021-05-05
Querétaro,8.84,20,65.62,2021-05-05
Sonora,8.71,7.17,12,2021-05-05
Nayarit,8.41,16.1,0,2021-05-05
Chiapas,8.04,5.92,11.32,2021-05-05
Tlaxcala,6.93,10.52,0,2021-05-05
Colima,6.56,11.11,5.26,2021-05-05
Jalisco,6.47,9.48,16.96,2021-05-05
San Luis Potosí,5.29,10.04,6.41,2021-05-05
Guanajuato,4.99,4.61,12.9,2021-05-05
Coahuila de Zaragoza,4.72,4.47,3.63,2021-05-05
Campeche,2.5,4.65,6.25,2021-05-05
Quintana Roo,26.31,11.11,22.07,2021-05-06
Durango,22.82,10.95,17.8,2021-05-06
Puebla,19.87,16.79,23.84,2021-05-06
Chihuahua,18.1,30,28.88,2021-05-06
Morelos,16.82,11.6,9.09,2021-05-06
Guerrero,16.73,13.87,24.67,2021-05-06
Ciudad de México,16.15,23.34,34.44,2021-05-06
Tabasco,14.46,30.26,33.33,2021-05-06
Aguascalientes,13.68,15.34,32.75,2021-05-06
Baja California Sur,13.4,15.7,0,2021-05-06
México,12.85,16.26,33.66,2021-05-06
Nuevo León,12.43,13.12,22.36,2021-05-06
Tamaulipas,12.38,11.41,17.75,2021-05-06
Zacatecas,12.28,7.31,35,2021-05-06
Hidalgo,12.27,10.5,3.92,2021-05-06
Michoacán de Ocampo,11.9,17.07,47.05,2021-05-06
Oaxaca,11.71,16.84,28.23,2021-05-06
Yucatán,9.34,20.18,31.42,2021-05-06
Sinaloa,9.31,10.79,21.1,2021-05-06
Tlaxcala,9.01,18.25,0,2021-05-06
Nayarit,8.91,15.38,0,2021-05-06
Veracruz de Ignacio de La Llave,8.87,8.85,15.5,2021-05-06
Querétaro,8.83,21.58,66.66,2021-05-06
Baja California,8.69,13.74,7.31,2021-05-06
Sonora,8.36,6.63,6.52,2021-05-06
Jalisco,6.71,8.76,16.96,2021-05-06
Chiapas,6.45,6.96,9.8,2021-05-06
Colima,5.52,15.68,0,2021-05-06
Guanajuato,5.37,4.35,18.05,2021-05-06
San Luis Potosí,5.35,10.72,6.41,2021-05-06
Coahuila de Zaragoza,4.63,4.11,5.45,2021-05-06
Campeche,2.56,3.22,6.45,2021-05-06
Quintana Roo,27.37,10.43,23.37,2021-05-07
Durango,25.3,9.86,18.75,2021-05-07
Ciudad de México,20.44,18.59,29.61,2021-05-07
Baja California Sur,18.04,14.05,0,2021-05-07
Puebla,17.3,15.69,18.07,2021-05-07
Morelos,17.09,11.94,3.84,2021-05-07
Guerrero,15.73,12.67,20,2021-05-07
Chihuahua,14.38,31.84,30.76,2021-05-07
Tabasco,14.37,24.22,28.81,2021-05-07
Michoacán de Ocampo,12.51,17.4,43.75,2021-05-07
Tamaulipas,12.09,10.91,19.44,2021-05-07
México,12.05,15.25,34.63,2021-05-07
Nuevo León,11.92,13.89,23.27,2021-05-07
Aguascalientes,11.21,17.67,34.48,2021-05-07
Hidalgo,11.11,9.13,3.27,2021-05-07
Nayarit,11,10,0,2021-05-07
Baja California,9.83,13.05,7.31,2021-05-07
Veracruz de Ignacio de La Llave,9.71,9.04,15.78,2021-05-07
Yucatán,9.45,20.29,40,2021-05-07
Zacatecas,9.24,7.27,30,2021-05-07
Oaxaca,8.84,11.62,22.05,2021-05-07
Sonora,8.33,6.04,8.16,2021-05-07
Sinaloa,8.3,8.86,20.95,2021-05-07
Querétaro,7.82,21.09,67.64,2021-05-07
Jalisco,7.17,8.75,16.6,2021-05-07
Chiapas,6.03,6.62,9.8,2021-05-07
Tlaxcala,5.55,21.84,0,2021-05-07
Colima,5.36,12.12,5.26,2021-05-07
San Luis Potosí,4.63,10.28,7.57,2021-05-07
Guanajuato,4.36,4.01,11.76,2021-05-07
Coahuila de Zaragoza,3.72,4.18,3.7,2021-05-07
Campeche,2.15,3.17,3.33,2021-05-07
Quintana Roo,26.5,12.83,29.82,2021-05-08
Durango,20.51,11.97,17.8,2021-05-08
Morelos,18.36,14,9.09,2021-05-08
Tabasco,18.11,21.89,39.28,2021-05-08
Ciudad de México,17.24,19.33,31.89,2021-05-08
Puebla,17.14,15.5,21.7,2021-05-08
Baja California Sur,16.22,14.51,0,2021-05-08
Chihuahua,15.32,31.9,32.22,2021-05-08
Guerrero,14.97,11.84,23.68,2021-05-08
Tamaulipas,13.22,13.01,29.41,2021-05-08
México,11.93,15.31,26.85,2021-05-08
Nuevo León,11.62,13.41,22.62,2021-05-08
Michoacán de Ocampo,11.28,15.72,43.75,2021-05-08
Baja California,10.93,15.63,14.28,2021-05-08
Aguascalientes,10.44,17.92,34.48,2021-05-08
Veracruz de Ignacio de La Llave,10.25,8.59,15,2021-05-08
Hidalgo,9.69,8.73,6.55,2021-05-08
Nayarit,9.52,11.81,0,2021-05-08
Yucatán,9.47,22.92,40,2021-05-08
Sonora,9.34,5.79,25,2021-05-08
Oaxaca,9.3,11.37,16.25,2021-05-08
Zacatecas,8.92,5.52,27.77,2021-05-08
Querétaro,7.98,19.2,67.64,2021-05-08
Sinaloa,7.73,9.7,20,2021-05-08
Jalisco,6.87,8.84,14.96,2021-05-08
Chiapas,5.63,5.82,7.54,2021-05-08
Colima,5.1,12.5,5.26,2021-05-08
San Luis Potosí,4.85,8.33,7.79,2021-05-08
Guanajuato,4.77,4.18,14.1,2021-05-08
Tlaxcala,4.34,20.47,0,2021-05-08
Coahuila de Zaragoza,2.82,4.46,6.25,2021-05-08
Campeche,2.04,4.8,12.12,2021-05-08
Quintana Roo,31.37,11.89,21.66,2021-05-09
Tabasco,19.74,24.83,38.88,2021-05-09
Durango,19.37,12.76,19.44,2021-05-09
Puebla,17.93,15.68,20.93,2021-05-09
Baja California Sur,17.56,35.36,0,2021-05-09
Morelos,17.03,9.7,3.84,2021-05-09
Chihuahua,15.7,30.34,33.33,2021-05-09
Guerrero,15.27,13.74,27.63,2021-05-09
Tamaulipas,13.97,11.94,30.18,2021-05-09
Nuevo León,13.9,10.21,22.01,2021-05-09
Ciudad de México,13.86,17.87,31.94,2021-05-09
Oaxaca,11.79,12.57,22.66,2021-05-09
México,11.45,16.02,32.51,2021-05-09
Baja California,11.2,13.49,7.31,2021-05-09
Michoacán de Ocampo,11.05,16.25,43.75,2021-05-09
Aguascalientes,11.03,19.32,34.48,2021-05-09
Veracruz de Ignacio de La Llave,10.32,7.86,14.93,2021-05-09
Yucatán,9.53,22.5,40,2021-05-09
Hidalgo,9.17,9.22,6.55,2021-05-09
Sonora,8.72,4.61,23.25,2021-05-09
Querétaro,8.27,16.96,67.64,2021-05-09
Nayarit,8.13,10,0,2021-05-09
Sinaloa,7.73,9.31,19.62,2021-05-09
Jalisco,7.15,8.4,15.21,2021-05-09
Chiapas,5.88,5.82,7.54,2021-05-09
Colima,5.46,11.47,6.25,2021-05-09
Guanajuato,4.14,3.7,10.29,2021-05-09
Tlaxcala,3.84,21.31,0,2021-05-09
San Luis Potosí,3.61,8.88,7.79,2021-05-09
Zacatecas,3.57,6.74,33.33,2021-05-09
Coahuila de Zaragoza,3.33,3.84,5.55,2021-05-09
Campeche,1.93,2.52,0,2021-05-09
Quintana Roo,28.08,11.63,20,2021-05-10
Ciudad de México,19.45,17.59,31.77,2021-05-10
Puebla,16.84,15.44,17.11,2021-05-10
Tabasco,15.9,27.43,27.86,2021-05-10
Durango,15.9,13.88,18.3,2021-05-10
Chihuahua,15.49,29.95,33.68,2021-05-10
Guerrero,15.27,12.88,23.33,2021-05-10
Morelos,14.11,10,4.28,2021-05-10
Tamaulipas,13.72,12.89,22.88,2021-05-10
Baja California Sur,13.72,18.55,0,2021-05-10
Oaxaca,13.18,14.12,26.37,2021-05-10
Nuevo León,12.68,11.2,19.95,2021-05-10
Veracruz de Ignacio de La Llave,11.19,8.52,16.44,2021-05-10
México,10.72,15.04,32.03,2021-05-10
Michoacán de Ocampo,10.68,15.1,35.71,2021-05-10
Aguascalientes,10.11,17.14,32.75,2021-05-10
Baja California,9.93,11.34,11.62,2021-05-10
Colima,9.37,15.55,0,2021-05-10
Yucatán,9.03,23.11,40,2021-05-10
Sonora,8.94,4.78,18.18,2021-05-10
Nayarit,8.61,9.25,0,2021-05-10
Hidalgo,8.12,11.22,4.25,2021-05-10
Sinaloa,8.02,10.7,18.69,2021-05-10
Querétaro,7.86,16.96,67.64,2021-05-10
Jalisco,7.15,9.24,16.37,2021-05-10
Tlaxcala,6.77,19.16,0,2021-05-10
Chiapas,4.78,5.22,6.34,2021-05-10
Zacatecas,4.7,7.5,38.88,2021-05-10
Guanajuato,4.39,3.61,12.34,2021-05-10
San Luis Potosí,3.69,9.29,7.79,2021-05-10
Coahuila de Zaragoza,3.01,3.21,6.25,2021-05-10
Campeche,2.26,3.25,6.45,2021-05-10
Quintana Roo,29.46,11.92,20,2021-05-11
Ciudad de México,21.7,28,34.05,2021-05-11
Puebla,17.23,15.58,19.23,2021-05-11
Morelos,16.61,12.9,2.85,2021-05-11
Baja California Sur,15.87,19.89,0,2021-05-11
Tabasco,15.54,27.32,28.81,2021-05-11
Chihuahua,15.27,33.01,35.55,2021-05-11
Guerrero,14.93,12.5,22.22,2021-05-11
Durango,14.67,14.18,18.3,2021-05-11
Tamaulipas,13.79,14.18,21.66,2021-05-11
Oaxaca,12.94,10.81,25.27,2021-05-11
Nuevo León,12.11,11.02,22.78,2021-05-11
Baja California,11.96,12.94,11.11,2021-05-11
Veracruz de Ignacio de La Llave,11.28,7.97,14.38,2021-05-11
México,11.24,15.1,32.36,2021-05-11
Aguascalientes,10.9,16.35,32.75,2021-05-11
Michoacán de Ocampo,10.68,14.17,25,2021-05-11
Yucatán,8.81,22.11,40,2021-05-11
Sinaloa,8.18,8.61,16.82,2021-05-11
Querétaro,7.88,15.52,67.64,2021-05-11
Nayarit,7.77,6.45,0,2021-05-11
Jalisco,7.24,9.78,16.42,2021-05-11
Hidalgo,7.12,9.85,3.5,2021-05-11
Chiapas,6.81,4.59,6.34,2021-05-11
Zacatecas,6.47,8.64,45,2021-05-11
Sonora,6.23,4.58,19.23,2021-05-11
Tlaxcala,5.98,17.07,0,2021-05-11
Colima,4.45,13.04,0,2021-05-11
Guanajuato,4.06,3.58,12.04,2021-05-11
San Luis Potosí,3.32,7.11,9.09,2021-05-11
Coahuila de Zaragoza,3.2,3.81,7.27,2021-05-11
Campeche,3.01,2.36,5.88,2021-05-11
Quintana Roo,27.94,12.29,21.05,2021-05-12
Ciudad de México,23.05,17.51,26.05,2021-05-12
Guerrero,15.69,11.6,21.11,2021-05-12
Puebla,15.54,13.7,14.67,2021-05-12
Morelos,15.41,17.17,2.85,2021-05-12
Tamaulipas,15.29,12.86,24.07,2021-05-12
Durango,14.97,14.28,18.57,2021-05-12
Chihuahua,14.45,32.85,38.46,2021-05-12
Baja California Sur,14.06,20.72,0,2021-05-12
Tabasco,14,28.12,32.2,2021-05-12
Nuevo León,13.29,11.69,21.23,2021-05-12
Oaxaca,12.5,12.08,22.47,2021-05-12
Baja California,11.94,14.02,11.62,2021-05-12
México,11.57,14.28,31.55,2021-05-12
Veracruz de Ignacio de La Llave,11.04,7.42,15.87,2021-05-12
Michoacán de Ocampo,10.79,13.82,23.52,2021-05-12
Aguascalientes,9.84,17.58,32.75,2021-05-12
Yucatán,8.6,22.48,25.71,2021-05-12
Nayarit,8.57,9.25,0,2021-05-12
Sinaloa,8.52,9.88,18.09,2021-05-12
Zacatecas,8.33,9.14,60,2021-05-12
Querétaro,7.9,14.44,67.64,2021-05-12
Sonora,7.5,4.12,21.27,2021-05-12
Hidalgo,7.42,9.18,1.96,2021-05-12
Jalisco,6.94,10.13,15.77,2021-05-12
Colima,5.16,18.64,25,2021-05-12
Tlaxcala,5.12,17.21,0,2021-05-12
Chiapas,4.45,4.59,6.66,2021-05-12
Guanajuato,3.5,3.59,12.04,2021-05-12
San Luis Potosí,3.15,7.07,9.09,2021-05-12
Coahuila de Zaragoza,3.09,3.5,7.4,2021-05-12
Campeche,2.94,3.14,3.03,2021-05-12
Quintana Roo,29.8,13.33,24.19,2021-05-13
Ciudad de México,22.5,18.89,29.76,2021-05-13
Morelos,16.75,16.03,9.09,2021-05-13
Tabasco,16.73,28.65,33.33,2021-05-13
Guerrero,16.16,11.68,21.11,2021-05-13
Puebla,15.66,13.68,20.96,2021-05-13
Tamaulipas,14.84,14.28,24.59,2021-05-13
Baja California Sur,12.54,20.96,0,2021-05-13
Nuevo León,12.52,11.57,19.94,2021-05-13
Oaxaca,12.5,11.22,21.34,2021-05-13
Baja California,12.16,13.94,11.62,2021-05-13
Durango,11.82,13.76,16.9,2021-05-13
Veracruz de Ignacio de La Llave,11.81,8.26,17.41,2021-05-13
Chihuahua,11.72,34.63,39.56,2021-05-13
México,11.15,13.57,31.81,2021-05-13
Michoacán de Ocampo,10.56,14.22,23.52,2021-05-13
Nayarit,9.55,10.52,0,2021-05-13
Aguascalientes,9.27,17.15,32.75,2021-05-13
Yucatán,8.9,20.32,28.57,2021-05-13
Zacatecas,8.58,8.64,61.11,2021-05-13
Sonora,8.5,3.57,23.63,2021-05-13
Sinaloa,8.25,11.34,20.4,2021-05-13
Hidalgo,7.73,7.46,3.22,2021-05-13
Querétaro,6.91,14.13,66.66,2021-05-13
Jalisco,6.43,9.33,12.5,2021-05-13
Chiapas,6.07,4.26,6.34,2021-05-13
Colima,5.6,18.64,25,2021-05-13
Tlaxcala,4.25,17.21,0,2021-05-13
Campeche,3.72,3.9,2.94,2021-05-13
Guanajuato,3.63,3.51,9.75,2021-05-13
Coahuila de Zaragoza,3,3.44,7.27,2021-05-13
San Luis Potosí,2.93,7.04,10.44,2021-05-13
Quintana Roo,33.54,14.09,27.86,2021-05-14
Ciudad de México,21.79,17.87,25.85,2021-05-14
Tabasco,16.66,29.44,37.5,2021-05-14
Puebla,15.7,12.81,18.07,2021-05-14
Tamaulipas,14.88,13.42,22.72,2021-05-14
Morelos,14.67,10.94,5.76,2021-05-14
Guerrero,14.56,12.87,20,2021-05-14
México,14.27,12.87,32.8,2021-05-14
Baja California,13.35,20.08,9.3,2021-05-14
Durango,12.5,10.79,15.49,2021-05-14
Nayarit,12.38,11.92,0,2021-05-14
Nuevo León,12.22,12.33,19.26,2021-05-14
Michoacán de Ocampo,12.02,15.2,23.52,2021-05-14
Baja California Sur,12.01,21.27,0,2021-05-14
Veracruz de Ignacio de La Llave,11.59,6.62,15.12,2021-05-14
Oaxaca,11.55,12.9,23.25,2021-05-14
Chihuahua,11.19,33.33,39.56,2021-05-14
Aguascalientes,11.17,16.42,31.03,2021-05-14
Sonora,10.31,5.55,32.5,2021-05-14
Zacatecas,10.06,8.67,60,2021-05-14
Yucatán,9.52,23.11,28.57,2021-05-14
Sinaloa,9.49,9.68,17.47,2021-05-14
Hidalgo,8.81,9.37,5.76,2021-05-14
Querétaro,6.77,11.95,66.66,2021-05-14
Jalisco,5.95,8.46,11.8,2021-05-14
Tlaxcala,5.6,12.63,0,2021-05-14
Chiapas,4.95,5.76,7.93,2021-05-14
Colima,4.45,15.49,11.11,2021-05-14
Guanajuato,4.2,2.96,11.26,2021-05-14
Coahuila de Zaragoza,3.56,4.98,9.09,2021-05-14
San Luis Potosí,3.3,6.27,9.09,2021-05-14
Campeche,2.81,4.72,6.06,2021-05-14
Quintana Roo,35.52,14.08,38.09,2021-05-15
Ciudad de México,19.37,18.46,29.97,2021-05-15
Tabasco,17.49,23.93,36.04,2021-05-15
Tamaulipas,16.25,13.96,28.28,2021-05-15
Puebla,15.86,14.56,20.51,2021-05-15
Morelos,15.1,12.72,9.09,2021-05-15
Durango,14.77,8.87,18.64,2021-05-15
Nayarit,14.69,12.03,0,2021-05-15
Guerrero,14.64,13.06,25,2021-05-15
México,14.13,12.4,28.49,2021-05-15
Michoacán de Ocampo,13.18,17.52,27.77,2021-05-15
Veracruz de Ignacio de La Llave,12.98,7.29,16.12,2021-05-15
Sonora,12.93,5.61,30.95,2021-05-15
Baja California Sur,12.4,21.05,0,2021-05-15
Zacatecas,12.17,8.92,66.66,2021-05-15
Nuevo León,11.13,13.65,18.42,2021-05-15
Chihuahua,10.41,32.21,37.77,2021-05-15
Baja California,10.38,20.25,17.39,2021-05-15
Oaxaca,10.3,12.76,23.07,2021-05-15
Yucatán,8.61,23.58,28.57,2021-05-15
Aguascalientes,8.6,16.19,32.75,2021-05-15
Sinaloa,8.46,10.63,18.62,2021-05-15
Hidalgo,7.49,9.89,7.69,2021-05-15
Querétaro,7.19,11.15,66.66,2021-05-15
Chiapas,5.68,4.76,6.34,2021-05-15
Jalisco,5.59,7.95,11.47,2021-05-15
Tlaxcala,5.48,13.82,0,2021-05-15
Guanajuato,4.98,3.05,9.85,2021-05-15
Campeche,3.16,4.68,5.88,2021-05-15
San Luis Potosí,3.15,6.6,5.19,2021-05-15
Coahuila de Zaragoza,2.73,5.6,12.76,2021-05-15
Colima,2.53,20,25,2021-05-15
Quintana Roo,33.88,15.66,42.22,2021-05-16
Tamaulipas,18,13.65,25.74,2021-05-16
Ciudad de México,17.32,15.1,23.07,2021-05-16
Tabasco,16.56,25,33.33,2021-05-16
Michoacán de Ocampo,15.72,17.67,12.5,2021-05-16
Puebla,14.9,13,17.52,2021-05-16
México,14.74,12.11,30.1,2021-05-16
Sonora,14.74,4.78,34.21,2021-05-16
Nayarit,14.55,9.43,0,2021-05-16
Guerrero,14.19,12.44,27.63,2021-05-16
Baja California Sur,14.06,21.87,0,2021-05-16
Morelos,14.05,14.01,9.09,2021-05-16
Durango,13.63,8.13,17.24,2021-05-16
Nuevo León,12.5,12.66,18.29,2021-05-16
Veracruz de Ignacio de La Llave,12.08,9.51,18.11,2021-05-16
Zacatecas,11.97,9.81,65,2021-05-16
Chihuahua,10.6,31.12,35.95,2021-05-16
Oaxaca,9.78,9.81,14.86,2021-05-16
Yucatán,8.99,22.48,26.47,2021-05-16
Hidalgo,8.86,9.13,8,2021-05-16
Sinaloa,8.47,10.99,19.6,2021-05-16
Baja California,7.98,16.58,18.18,2021-05-16
Aguascalientes,7.21,16.74,32.75,2021-05-16
Querétaro,6.9,11.59,66.66,2021-05-16
Tlaxcala,6.03,14.06,0,2021-05-16
Chiapas,5.98,5.47,6.34,2021-05-16
Jalisco,5.66,8.76,11.65,2021-05-16
Guanajuato,5.38,2.62,8.45,2021-05-16
Campeche,3.45,3.93,6.06,2021-05-16
Coahuila de Zaragoza,3.43,5.36,17.64,2021-05-16
San Luis Potosí,3.37,7.87,7.35,2021-05-16
Colima,3.2,15.49,11.11,2021-05-16
Quintana Roo,30.51,14.4,21.05,2021-05-17
Ciudad de México,20.42,17.23,26.2,2021-05-17
Tamaulipas,16.45,14.28,25.74,2021-05-17
Michoacán de Ocampo,16,17.4,26.66,2021-05-17
Puebla,15.37,13.64,20.86,2021-05-17
Nayarit,15.17,10.37,0,2021-05-17
Tabasco,15.15,24.59,30.12,2021-05-17
Guerrero,15.02,12.16,24.44,2021-05-17
México,14.2,11.23,29.1,2021-05-17
Baja California,14,17.03,9.3,2021-05-17
Veracruz de Ignacio de La Llave,13.52,8.53,17.12,2021-05-17
Morelos,13.13,5.06,1.42,2021-05-17
Sonora,12.79,4.5,32.55,2021-05-17
Chihuahua,12.5,27.66,33.69,2021-05-17
Baja California Sur,12.01,21.57,0,2021-05-17
Durango,11.51,8.19,12.72,2021-05-17
Oaxaca,11.14,14.21,22.47,2021-05-17
Zacatecas,11.04,11.8,72.22,2021-05-17
Yucatán,9.06,21.35,29.41,2021-05-17
Sinaloa,8.66,10.54,21.42,2021-05-17
Nuevo León,8.29,8.34,11.11,2021-05-17
Aguascalientes,8.26,16.26,33.33,2021-05-17
Hidalgo,7.92,8.33,5.76,2021-05-17
Querétaro,6.91,10.86,66.66,2021-05-17
Tlaxcala,6.27,13.93,0,2021-05-17
Colima,5.32,15.51,25,2021-05-17
Chiapas,5.23,5.06,4.76,2021-05-17
Guanajuato,4.92,2.78,7.04,2021-05-17
Jalisco,4.9,8.47,13.15,2021-05-17
Coahuila de Zaragoza,3.56,5.18,11.62,2021-05-17
San Luis Potosí,3.29,8.45,7.46,2021-05-17
Campeche,2.77,3.93,6.06,2021-05-17
Quintana Roo,32.57,22.72,75,2021-05-18
Ciudad de México,21.22,17.6,24.54,2021-05-18
Michoacán de Ocampo,19.74,18.91,27.27,2021-05-18
Yucatán,18.34,21.25,16.66,2021-05-18
Nayarit,17.68,12.32,0,2021-05-18
Tamaulipas,17.65,12.29,22.97,2021-05-18
Guerrero,16.75,9.92,28.2,2021-05-18
México,15.85,7.16,28.88,2021-05-18
Coahuila de Zaragoza,15.75,13.23,100,2021-05-18
Puebla,14.82,13.31,18.29,2021-05-18
Baja California,13.73,17.9,0,2021-05-18
Sonora,13.72,9.9,72.72,2021-05-18
Baja California Sur,13.72,21.93,0,2021-05-18
Veracruz de Ignacio de La Llave,13.46,8.86,12.93,2021-05-18
Morelos,12.65,9.9,4.54,2021-05-18
Durango,11.03,10.34,18.75,2021-05-18
Oaxaca,10.65,13.95,15.15,2021-05-18
Nuevo León,9.99,6.47,3.48,2021-05-18
Zacatecas,9.92,5.1,0,2021-05-18
Sinaloa,9.87,16.08,30,2021-05-18
Chihuahua,9.72,22.83,25.53,2021-05-18
Tabasco,7.94,14.51,18.18,2021-05-18
Aguascalientes,7.86,16.8,55.55,2021-05-18
Hidalgo,7.83,6.89,2.77,2021-05-18
Guanajuato,6.29,2.75,9.83,2021-05-18
Tlaxcala,6.1,9.27,0,2021-05-18
Querétaro,6.08,11.95,66.66,2021-05-18
Colima,5.55,11.86,0,2021-05-18
Jalisco,5.24,9.31,14.63,2021-05-18
Chiapas,4.43,4.88,2.94,2021-05-18
Campeche,3.74,2.85,3.44,2021-05-18
San Luis Potosí,3.09,9.09,10.44,2021-05-18
Quintana Roo,32.22,18.8,25.8,2021-05-19
Durango,21.53,6.93,15.62,2021-05-19
Tabasco,18.44,28.07,32.05,2021-05-19
Ciudad de México,17.01,25.17,26.7,2021-05-19
Guerrero,16.59,10.2,22.98,2021-05-19
Puebla,15.6,14.8,23.76,2021-05-19
Baja California,15.41,16.34,11.62,2021-05-19
Michoacán de Ocampo,15.37,16.11,21.42,2021-05-19
Baja California Sur,15.32,17.36,0,2021-05-19
Coahuila de Zaragoza,15.27,7.94,11.53,2021-05-19
Tamaulipas,15.13,12.5,29.29,2021-05-19
Nayarit,15.09,10.37,0,2021-05-19
Veracruz de Ignacio de La Llave,14.49,7.75,13.47,2021-05-19
México,13.56,10.15,27.77,2021-05-19
Nuevo León,12.13,9.01,12.16,2021-05-19
Oaxaca,11.69,15.26,22.82,2021-05-19
Sonora,11.14,11.25,46.87,2021-05-19
Morelos,11.01,5.62,1.42,2021-05-19
Chihuahua,10.86,27.98,28.88,2021-05-19
Yucatán,9.41,23.6,33.33,2021-05-19
Zacatecas,8.82,11.32,60,2021-05-19
Aguascalientes,7.95,16.42,32.75,2021-05-19
Sinaloa,7.87,10.5,20.43,2021-05-19
Colima,7.6,14.28,25,2021-05-19
Hidalgo,6.87,8.57,5.55,2021-05-19
Querétaro,5.93,9.81,65.62,2021-05-19
Guanajuato,5.9,2.86,7.04,2021-05-19
Tlaxcala,5.5,9.67,0,2021-05-19
Jalisco,4.92,8.58,11.11,2021-05-19
Chiapas,4.4,6.06,7.93,2021-05-19
San Luis Potosí,2.93,9.58,11.76,2021-05-19
Campeche,2.33,4.38,6.06,2021-05-19
Quintana Roo,35.5,21.11,25.92,2021-05-20
Durango,25.89,10.22,21.15,2021-05-20
Campeche,25.64,11.53,0,2021-05-20
Baja California Sur,22.97,32.92,0,2021-05-20
Nuevo León,18.36,13.78,24.25,2021-05-20
Ciudad de México,18.32,16.45,23.43,2021-05-20
Guerrero,17.09,12.18,26.38,2021-05-20
Puebla,17.05,19.78,30,2021-05-20
Baja California,16.86,16.31,11.36,2021-05-20
Chiapas,16.66,15.09,20.83,2021-05-20
Michoacán de Ocampo,16.14,17.79,27.27,2021-05-20
Tamaulipas,15.09,13.75,36.84,2021-05-20
Nayarit,14.28,9.34,0,2021-05-20
Veracruz de Ignacio de La Llave,13.38,9.97,16.66,2021-05-20
México,13.38,10.7,28.65,2021-05-20
Sonora,11.76,8.92,44.44,2021-05-20
Coahuila de Zaragoza,11.52,6.92,7.89,2021-05-20
Oaxaca,11.38,14.81,23.91,2021-05-20
Tabasco,11.11,12.82,28.37,2021-05-20
Chihuahua,10.74,30.89,30.48,2021-05-20
Morelos,9.52,0,0,2021-05-20
Yucatán,9.24,23.84,33.33,2021-05-20
Guanajuato,9.01,3.82,13.51,2021-05-20
Zacatecas,8.87,11.53,66.66,2021-05-20
Aguascalientes,8.77,14.42,32.75,2021-05-20
Sinaloa,8.7,13.7,27.77,2021-05-20
Querétaro,5.3,9.25,65.62,2021-05-20
Colima,4.72,12.9,0,2021-05-20
Jalisco,4.21,8.6,11.53,2021-05-20
San Luis Potosí,3.2,11.04,11.76,2021-05-20
Hidalgo,2.79,7.96,4,2021-05-20
Tlaxcala,0,2.22,0,2021-05-20
Quintana Roo,31.77,22.55,22.66,2021-05-21
Durango,20.14,8.91,18.18,2021-05-21
Tamaulipas,19.07,14.11,28.73,2021-05-21
Ciudad de México,18.72,16.86,25,2021-05-21
Baja California Sur,16.86,16.06,0,2021-05-21
Tabasco,16.86,22.89,28.57,2021-05-21
Guerrero,15.9,10.81,17.77,2021-05-21
Nuevo León,15.46,13.58,23.37,2021-05-21
Baja California,14.6,12.5,11.36,2021-05-21
Veracruz de Ignacio de La Llave,14.53,10.52,16.96,2021-05-21
Michoacán de Ocampo,14,16.12,53.84,2021-05-21
Puebla,13.78,14.15,21.78,2021-05-21
México,12.8,10.75,35.37,2021-05-21
Nayarit,12.5,11,0,2021-05-21
Coahuila de Zaragoza,11.82,8.46,9.09,2021-05-21
Morelos,11.23,6.2,2.5,2021-05-21
Chihuahua,10.86,29.56,25.71,2021-05-21
Yucatán,10.58,20.85,33.33,2021-05-21
Oaxaca,9.88,15.34,24.44,2021-05-21
Colima,8.91,13.23,5.55,2021-05-21
Sonora,8.84,9.95,36.84,2021-05-21
Zacatecas,8.23,12.34,70,2021-05-21
Aguascalientes,8.02,14.76,29.31,2021-05-21
Guanajuato,8,2.83,9.85,2021-05-21
Sinaloa,7.92,9.62,15.84,2021-05-21
Tlaxcala,5.9,8.94,0,2021-05-21
Querétaro,5.69,8.63,63.33,2021-05-21
Hidalgo,4.5,6.91,4.25,2021-05-21
Chiapas,4.4,5.31,7.57,2021-05-21
Jalisco,4.39,7.45,11.5,2021-05-21
San Luis Potosí,2.41,10.23,13.79,2021-05-21
Campeche,2.18,3.53,3.12,2021-05-21
Quintana Roo,33.66,25.12,47.5,2021-05-22
